,(1),(2),(3),(4),(5),(6)
Intercept,"7.517***
(0.126)","7.254***
(0.250)","6.982***
(0.843)","7.195***
(0.797)","7.450***
(0.788)","7.884***
(0.737)"
ln_export_area,"-0.118***
(0.025)","-0.104***
(0.028)","-0.101***
(0.029)","-0.090***
(0.028)","-0.104***
(0.032)","-0.102***
(0.030)"
abs_latitude,,"0.018*
(0.010)","0.021*
(0.012)","0.013
(0.016)","0.027
(0.017)","0.018
(0.016)"
longitude,,"-0.002
(0.005)","-0.002
(0.006)","-0.001
(0.005)","-0.002
(0.005)","-0.003
(0.005)"
rain_min,,,"0.002
(0.007)","-0.001
(0.007)","0.000
(0.007)","-0.001
(0.006)"
humid_max,,,"0.003
(0.010)","0.004
(0.010)","-0.000
(0.010)","0.003
(0.009)"
low_temp,,,,"-0.020
(0.024)","-0.000
(0.025)","-0.014
(0.025)"
ln_coastline_area,,,,"0.089***
(0.031)","0.121***
(0.036)","0.094***
(0.034)"
island_dum,,,,,"-0.618
(0.470)","-0.117
(0.472)"
islam,,,,,"-0.005*
(0.003)","-0.005*
(0.003)"
legor_fr,,,,,,"-0.184
(0.216)"
ln_avg_oil_pop,,,,,,"0.078***
(0.023)"
ln_avg_all_diamonds_pop,,,,,,"-0.028
(0.041)"
